session_id,user_id,username,time_spent,death_count,max_checkpoint,completed,end_reason,map_id,created_at,progress_score,survival_score,efficiency_score,skill_score,session_cluster,session_cluster_name,pca_1,pca_2
a574d7e6-25a8-4f73-a146-46975068de94,USER_17,Player_17,857,8,5,True,summit,1,2025-01-01 21:26:56.301079,1.0,0.84,0.2858,0.7086,2,Sesi Cepat namun Progress Rendah,2.3885571312815808,1.8448802058530218
064ff446-e89d-47fa-ab44-3bf7411fe2c0,USER_12,Player_12,243,21,3,False,exit,1,2025-01-01 23:08:42.35288,0.6,0.58,0.4785,0.5528,0,Sesi Sulit / Banyak Death,-0.22013133244094307,-0.417709444432714
4479cacb-6493-464c-a6dc-a733010b43df,USER_21,Player_21,353,18,3,False,exit,1,2025-01-02 00:44:27.09982,0.6,0.64,0.4235,0.5545,0,Sesi Sulit / Banyak Death,-0.2880451772677728,0.03626699716762585
2d3b506a-75b7-47dc-bc6d-794a5a7ee7cb,USER_23,Player_23,888,22,4,False,exit,1,2025-01-04 02:21:30.013338,0.8,0.56,0.208,0.5227,0,Sesi Sulit / Banyak Death,-0.05765322079472589,0.6372883147972899
a962b8ee-cc15-4df5-8e2c-74ff155df16d,USER_20,Player_20,227,23,3,False,exit,1,2025-01-04 03:10:31.126145,0.6,0.54,0.4865,0.5422,0,Sesi Sulit / Banyak Death,-0.24847739758548323,-0.6228856149480594
2d2b296e-b86c-40ad-9a4c-7023e2c65f85,USER_35,Player_35,202,6,2,False,exit,1,2025-01-04 05:33:44.412809,0.4,0.88,0.3327,0.5376,1,Sesi Berhasil / Progres Maksimal,-1.0389766130741052,0.9138721552138913
94a95f37-73fe-4fb0-a1e0-a2406a5809f7,USER_24,Player_24,604,7,2,False,exit,1,2025-01-04 06:55:41.935232,0.4,0.86,0.1987,0.4862,1,Sesi Berhasil / Progres Maksimal,-1.451294731132147,1.4406317351213764
6256a06f-a245-41b2-9eb6-36200ff052d5,USER_23,Player_23,1013,21,2,False,unknown,1,2025-01-04 07:25:47.313853,0.4,0.58,0.0623,0.3474,1,Sesi Berhasil / Progres Maksimal,-2.189802856888121,0.8207427118657367
b70dd1f8-0938-4d65-9678-ec371d3cb7f3,USER_42,Player_42,199,6,1,False,exit,1,2025-01-04 21:23:27.607389,0.2,0.88,0.1668,0.4156,1,Sesi Berhasil / Progres Maksimal,-2.277873362168992,0.9753778810267822
796df4b7-4d38-47c2-bd06-a9b6218b4c18,USER_28,Player_28,587,24,5,True,summit,1,2025-01-05 07:08:27.508459,1.0,0.52,0.5108,0.6769,2,Sesi Cepat namun Progress Rendah,2.518367346961515,-0.12816336335986217
78686d34-0fcb-44d0-b816-f99c285aa37b,USER_22,Player_22,576,24,4,False,exit,1,2025-01-05 09:02:33.151517,0.8,0.52,0.416,0.5787,0,Sesi Sulit / Banyak Death,0.3964660729813749,-0.12257005831065075
4a4ae6ad-257c-4f03-ba6a-f9a134f56e68,USER_48,Player_48,173,15,1,False,exit,1,2025-01-05 21:56:15.370597,0.2,0.7,0.1712,0.3571,1,Sesi Berhasil / Progres Maksimal,-2.4822140502588144,0.13848400738989616
088d82b9-6e3b-4ec0-b9ad-8ebd33e3bde1,USER_7,Player_7,319,0,3,False,exit,1,2025-01-05 22:09:29.482764,0.6,1.0,0.4405,0.6802,0,Sesi Sulit / Banyak Death,0.19825047893028858,1.5812762452935176
753c34dd-b44f-4bd2-a67e-38f3057e0062,USER_12,Player_12,526,14,1,False,exit,1,2025-01-06 04:22:53.548977,0.2,0.72,0.1123,0.3441,1,Sesi Berhasil / Progres Maksimal,-2.6836242855111183,0.7096465236666735
e4908f93-713d-4b2b-8a51-12483a2fe9eb,USER_37,Player_37,360,6,4,False,exit,1,2025-01-06 07:30:00.69492,0.8,0.88,0.56,0.7467,0,Sesi Sulit / Banyak Death,1.1872753685473563,1.0773747051383071
f095e716-6946-4f46-9fe9-1ae80badd8ea,USER_49,Player_49,411,21,5,True,summit,1,2025-01-06 17:34:07.01646,1.0,0.58,0.6575,0.7458,2,Sesi Cepat namun Progress Rendah,2.933173967398209,-0.2185333203298177
b78c09c2-eefb-4564-bc23-612e0155ddbb,USER_50,Player_50,474,13,4,False,exit,1,2025-01-07 01:52:57.759986,0.8,0.74,0.484,0.6747,0,Sesi Sulit / Banyak Death,0.8313467244428188,0.6666698030284197
8eb0632c-e796-4dfe-b85d-e2e2378b399f,USER_44,Player_44,1174,13,4,False,unknown,1,2025-01-07 12:58:07.454336,0.8,0.74,0.0173,0.5191,0,Sesi Sulit / Banyak Death,-0.2979534435010624,1.971937901356821
8a1add56-c510-4d22-bfac-d528624ed276,USER_13,Player_13,379,32,4,False,failed,1,2025-01-08 05:11:57.882883,0.8,0.36,0.5473,0.5691,0,Sesi Sulit / Banyak Death,0.5174602389440262,-1.2022341334069349
b46c8409-14b2-42ba-8267-e1305a7e8d08,3257447993,Clamsxeny,276,23,4,False,exit,1,2025-01-08 07:18:53.269172,0.8,0.54,0.616,0.652,0,Sesi Sulit / Banyak Death,0.9048645043809335,-0.5929716356483942
ed2d5a96-b6d3-4f73-a7ac-20ebc84a916e,USER_45,Player_45,413,36,3,False,failed,1,2025-01-08 08:12:07.165302,0.6,0.28,0.3935,0.4245,0,Sesi Sulit / Banyak Death,-0.8077475669046559,-1.4645466149679933
99f1f825-8775-4a93-bd8b-a8192481a0f1,USER_43,Player_43,242,4,4,False,exit,1,2025-01-08 09:46:11.918801,0.8,0.92,0.6387,0.7862,0,Sesi Sulit / Banyak Death,1.426643885321232,1.0353121769423963
ff389d5e-10ec-4edd-a7d3-df7bb0c28e2e,USER_17,Player_17,165,25,5,True,summit,1,2025-01-08 16:38:39.462126,1.0,0.5,0.8625,0.7875,2,Sesi Cepat namun Progress Rendah,3.3116002450555104,-1.0742794718579731
4cdcca61-eac2-4cac-923b-d2b73b922897,USER_42,Player_42,234,10,4,False,exit,1,2025-01-08 23:38:28.43902,0.8,0.8,0.644,0.748,0,Sesi Sulit / Banyak Death,1.2921161070288507,0.48622821592174137
1adaa16a-7186-448b-82f2-6ee437519314,USER_39,Player_39,1044,42,5,True,summit,1,2025-01-09 10:46:19.691231,1.0,0.16,0.13,0.43,2,Sesi Cepat namun Progress Rendah,1.1906748594760712,-0.8027064317958971
9845eb29-e053-4435-a4b3-59920e8fc27d,USER_12,Player_12,64,22,2,False,exit,1,2025-01-09 11:30:16.166264,0.4,0.56,0.3787,0.4462,1,Sesi Berhasil / Progres Maksimal,-1.2993633546848606,-0.7222603183357794
02d83960-fa4b-4803-8132-d9ba679493a8,USER_34,Player_34,845,36,4,False,failed,1,2025-01-09 13:29:15.928011,0.8,0.28,0.2367,0.4389,0,Sesi Sulit / Banyak Death,-0.3324029880355418,-0.6895204352252259
ebeebf6d-d873-4fd7-9bfe-7368d5a70d61,USER_18,Player_18,877,16,2,False,exit,1,2025-01-09 20:39:40.482969,0.4,0.68,0.1077,0.3959,1,Sesi Berhasil / Progres Maksimal,-1.935580210330339,1.0575570661242877
8c933d90-32db-423d-a700-3be3abcb3bbe,USER_47,Player_47,382,12,3,False,exit,1,2025-01-10 00:37:38.574287,0.6,0.76,0.409,0.5897,0,Sesi Sulit / Banyak Death,-0.1778545473758488,0.6197959614851442
bca7ccf9-b827-4667-8298-4d8bd3f9bb47,USER_24,Player_24,227,12,3,False,exit,1,2025-01-10 09:14:59.026406,0.6,0.76,0.4865,0.6155,0,Sesi Sulit / Banyak Death,0.02177578974644145,0.35651275886952205
65d7ade2-6634-41e2-942c-9eab10800f96,USER_10,Player_10,289,46,4,False,failed,1,2025-01-10 14:28:06.962175,0.8,0.08,0.6073,0.4958,0,Sesi Sulit / Banyak Death,0.3186506248323916,-2.616572492571114
673904ee-7078-42d7-ab9a-bcdc314810dd,USER_18,Player_18,394,8,4,False,exit,1,2025-01-11 05:56:19.456877,0.8,0.84,0.5373,0.7258,0,Sesi Sulit / Banyak Death,1.0832122034716694,0.9627275350033815
e3744d5b-db7b-4675-b376-54925d64c38b,USER_14,Player_14,253,17,2,False,exit,1,2025-01-12 03:55:22.536745,0.4,0.66,0.3157,0.4586,1,Sesi Berhasil / Progres Maksimal,-1.3584922326742703,0.012568876552841191
7ba650a0-a188-44d9-b51a-ad07a5e160bf,USER_16,Player_16,1102,37,5,True,summit,1,2025-01-12 04:56:48.529296,1.0,0.26,0.0817,0.4472,2,Sesi Cepat namun Progress Rendah,1.2011515552665728,-0.23978164830193374
9539326e-744f-4885-b32b-0921fdfbb7c2,USER_44,Player_44,403,18,2,False,exit,1,2025-01-12 14:18:45.69376,0.4,0.64,0.2657,0.4352,1,Sesi Berhasil / Progres Maksimal,-1.5278688417687774,0.1532568115916511
