"session_id","user_id","username","time_spent","death_count","max_checkpoint","completed_numeric","completed","end_reason","map_id","created_at","efficiency_score","survival_score","progress_score","skill_score"
"a574d7e6-25a8-4f73-a146-46975068de94","USER_17","Player_17",857,8,5,1,True,"summit",1,"2025-01-01 21:26:56.301079","0.2858","0.84","1","0.7086"
"064ff446-e89d-47fa-ab44-3bf7411fe2c0","USER_12","Player_12",243,21,3,0,False,"exit",1,"2025-01-01 23:08:42.35288","0.4785","0.58","0.6","0.5528"
"4479cacb-6493-464c-a6dc-a733010b43df","USER_21","Player_21",353,18,3,0,False,"exit",1,"2025-01-02 00:44:27.09982","0.4235","0.64","0.6","0.5545"
"2d3b506a-75b7-47dc-bc6d-794a5a7ee7cb","USER_23","Player_23",888,22,4,0,False,"exit",1,"2025-01-04 02:21:30.013338","0.208","0.56","0.8","0.5227"
"a962b8ee-cc15-4df5-8e2c-74ff155df16d","USER_20","Player_20",227,23,3,0,False,"exit",1,"2025-01-04 03:10:31.126145","0.4865","0.54","0.6","0.5422"
"2d2b296e-b86c-40ad-9a4c-7023e2c65f85","USER_35","Player_35",202,6,2,0,False,"exit",1,"2025-01-04 05:33:44.412809","0.3327","0.88","0.4","0.5376"
"94a95f37-73fe-4fb0-a1e0-a2406a5809f7","USER_24","Player_24",604,7,2,0,False,"exit",1,"2025-01-04 06:55:41.935232","0.1987","0.86","0.4","0.4862"
"6256a06f-a245-41b2-9eb6-36200ff052d5","USER_23","Player_23",1013,21,2,0,False,"unknown",1,"2025-01-04 07:25:47.313853","0.0623","0.58","0.4","0.3474"
"b70dd1f8-0938-4d65-9678-ec371d3cb7f3","USER_42","Player_42",199,6,1,0,False,"exit",1,"2025-01-04 21:23:27.607389","0.1668","0.88","0.2","0.4156"
"796df4b7-4d38-47c2-bd06-a9b6218b4c18","USER_28","Player_28",587,24,5,1,True,"summit",1,"2025-01-05 07:08:27.508459","0.5108","0.52","1","0.6769"
"78686d34-0fcb-44d0-b816-f99c285aa37b","USER_22","Player_22",576,24,4,0,False,"exit",1,"2025-01-05 09:02:33.151517","0.416","0.52","0.8","0.5787"
"4a4ae6ad-257c-4f03-ba6a-f9a134f56e68","USER_48","Player_48",173,15,1,0,False,"exit",1,"2025-01-05 21:56:15.370597","0.1712","0.7","0.2","0.3571"
"088d82b9-6e3b-4ec0-b9ad-8ebd33e3bde1","USER_7","Player_7",319,0,3,0,False,"exit",1,"2025-01-05 22:09:29.482764","0.4405","1","0.6","0.6802"
"753c34dd-b44f-4bd2-a67e-38f3057e0062","USER_12","Player_12",526,14,1,0,False,"exit",1,"2025-01-06 04:22:53.548977","0.1123","0.72","0.2","0.3441"
"e4908f93-713d-4b2b-8a51-12483a2fe9eb","USER_37","Player_37",360,6,4,0,False,"exit",1,"2025-01-06 07:30:00.69492","0.56","0.88","0.8","0.7467"
"f095e716-6946-4f46-9fe9-1ae80badd8ea","USER_49","Player_49",411,21,5,1,True,"summit",1,"2025-01-06 17:34:07.01646","0.6575","0.58","1","0.7458"
"b78c09c2-eefb-4564-bc23-612e0155ddbb","USER_50","Player_50",474,13,4,0,False,"exit",1,"2025-01-07 01:52:57.759986","0.484","0.74","0.8","0.6747"
"8eb0632c-e796-4dfe-b85d-e2e2378b399f","USER_44","Player_44",1174,13,4,0,False,"unknown",1,"2025-01-07 12:58:07.454336","0.0173","0.74","0.8","0.5191"
"8a1add56-c510-4d22-bfac-d528624ed276","USER_13","Player_13",379,32,4,0,False,"failed",1,"2025-01-08 05:11:57.882883","0.5473","0.36","0.8","0.5691"
"b46c8409-14b2-42ba-8267-e1305a7e8d08","3257447993","Clamsxeny",276,23,4,0,False,"exit",1,"2025-01-08 07:18:53.269172","0.616","0.54","0.8","0.652"
"ed2d5a96-b6d3-4f73-a7ac-20ebc84a916e","USER_45","Player_45",413,36,3,0,False,"failed",1,"2025-01-08 08:12:07.165302","0.3935","0.28","0.6","0.4245"
"99f1f825-8775-4a93-bd8b-a8192481a0f1","USER_43","Player_43",242,4,4,0,False,"exit",1,"2025-01-08 09:46:11.918801","0.6387","0.92","0.8","0.7862"
"ff389d5e-10ec-4edd-a7d3-df7bb0c28e2e","USER_17","Player_17",165,25,5,1,True,"summit",1,"2025-01-08 16:38:39.462126","0.8625","0.5","1","0.7875"
"4cdcca61-eac2-4cac-923b-d2b73b922897","USER_42","Player_42",234,10,4,0,False,"exit",1,"2025-01-08 23:38:28.43902","0.644","0.8","0.8","0.748"
